ANIO;MES;APELLIDO;NOMBRES;CARGO;ASIG_MENSUALES;SALARIO_FAMILIAR;DESCUENTOS_MENSUALES;LIQUIDO
2012;MAYO;LOSTRI;HECTOR ANTONIO;SECRETARIO GRAL. PLANEAMIENTO;25080;0;10271,4;14808,6
2012;MAYO;PEÑA;MARCOS;SECRETARIO GENERAL;25382;302;11079,3;14302,7
2012;MAYO;SALVAI;CARLOS FEDERICO;SECRETARIO GRAL. DES.CUIDADANO;23826;0;11593;12233
2012;MAYO;GAYTAN;FACUNDO AMADO;SECRETARIO GRAL COMUNICACIÓN;23826;0;10569,1;13256,9
2012;JUNIO;MACRI;MAURICIO;JEFE DE GOBIERNO;9450;0;1634,85;7815,15
2012;JUNIO;VIDAL;MARIA EUGENIA;VICEJEFA DE GOBIERNO;53379,4;0;17460,3;35919,1
2012;JUNIO;RODRIGUEZ LARRETA;HORACIO ANTONIO;JEFE DE GABINETE;43263;0;15751,8;27511,2
2012;JUNIO;GRINDETTI;NESTOR OSVALDO;MINISTRO;43263;0;14254,5;29008,6
2012;JUNIO;BULLRICH;ESTEBAN JOSE;MINISTRO;43263;0;15906,7;27356,3
2012;JUNIO;CABRERA;FRANCISCO ADOLFO;MINISTRO;43263;0;14741,9;28521,1
2012;JUNIO;CHAIN;DANIEL GUSTAVO;MINISTRO;43263;0;15071,8;28191,2
2012;JUNIO;MONZO;EMILIO;MINISTRO;43894,5;631,5;15773,3;28121,2
2012;JUNIO;STANLEY;CAROLINA;MINISTRO;43263;0;14211,5;29051,5
2012;JUNIO;LOMBARDI;HERNAN SANTIAGO;MINISTRO;43263;0;14266,5;28996,5
2012;JUNIO;SANTILLI;DIEGO CESAR;MINISTRO;43263;0;14502,8;28760,2
2012;JUNIO;MONTENEGRO;GUILLERMO TRISTAN;MINISTRO;43263;0;14741,9;28521,1
2012;JUNIO;IBARRA;ANDRES HORACIO;MINISTRO;43263;0;16125,4;27137,6
2012;JUNIO;REYBAUD;GRACIELA MABEL;MINISTRO;34610,4;0;12762,6;21847,8
2012;JUNIO;CLUSELLAS;PABLO;SECRETARIO LEGAL Y TECNICO;41099,9;0;13357,5;27742,4
2012;JUNIO;DE GODOY;MIGUEL ANGEL;SECRETARIO MEDIOS;41099,9;0;14179,3;26920,6
2012;JUNIO;KLEMENSIEWICZ;MARINA;SECRETARIA HABITAT;41099,9;0;9390,99;31708,9
2012;JUNIO;MACCHIAVELLI;EDUARDO ALBERTO;SECRETARIO ATENC.CIUD;41638,9;539;14194,7;27444,2
2012;JUNIO;LOSTRI;HECTOR ANTONIO;SECRETARIO GRAL. PLANEAMIENTO;43263;0;14124,5;29138,5
2012;JUNIO;PEÑA;MARCOS;SECRETARIO GENERAL;43565;302;14784;28781
2012;JUNIO;SALVAI;CARLOS FEDERICO;SECRETARIO GRAL. DES.CUIDADANO;41099,9;0;15304,6;25795,2
2012;JUNIO;GAYTAN;FACUNDO AMADO;SECRETARIO GRAL COMUNICACIÓN;41099,9;0;14179,3;26920,6
2012;JULIO;MACRI;MAURICIO;JEFE DE GOBIERNO;6300;0;1089,9;5210,1
2012;JULIO;VIDAL;MARIA EUGENIA;VICEJEFA DE GOBIERNO;39678,7;0;16351;23327,7
2012;JULIO;RODRIGUEZ LARRETA;HORACIO ANTONIO;JEFE DE GABINETE;32491,5;0;14120,6;18370,9
2012;JULIO;GRINDETTI;NESTOR OSVALDO;MINISTRO;32491,5;0;13825,3;18666,2
2012;JULIO;BULLRICH;ESTEBAN JOSE;MINISTRO;32491,5;0;14536,5;17955,1
2012;JULIO;CABRERA;FRANCISCO ADOLFO;MINISTRO;32491,5;0;14377,2;18114,3
2012;JULIO;CHAIN;DANIEL GUSTAVO;MINISTRO;32491,5;0;13825,3;18666,2
2012;JULIO;MONZO;EMILIO;MINISTRO;33123;631,5;12379,1;20743,9
2012;JULIO;STANLEY;CAROLINA;MINISTRO;32491,5;0;14315,4;18176,1
2012;JULIO;LOMBARDI;HERNAN SANTIAGO;MINISTRO;32491,5;0;13982,6;18508,9
2012;JULIO;SANTILLI;DIEGO CESAR;MINISTRO;32491,5;0;13825,3;18666,2
2012;JULIO;MONTENEGRO;GUILLERMO TRISTAN;MINISTRO;32491,5;0;14377,2;18114,3
2012;JULIO;IBARRA;ANDRES HORACIO;MINISTRO;32491,5;0;14611,9;17879,7
2012;JULIO;REYBAUD;GRACIELA MABEL;MINISTRO;25993,2;0;12238,1;13755,1
2012;JULIO;CLUSELLAS;PABLO;SECRETARIO LEGAL Y TECNICO;30866,9;0;13120,3;17746,6
2012;JULIO;DE GODOY;MIGUEL ANGEL;SECRETARIO MEDIOS;30866,9;0;13751,8;17115,1
2012;JULIO;KLEMENSIEWICZ;MARINA;SECRETARIA HABITAT;30866,9;0;12651,6;18215,4
2012;JULIO;MACCHIAVELLI;EDUARDO ALBERTO;SECRETARIO ATENC.CIUD;31405,9;539;13578,5;17827,4
2012;JULIO;LOSTRI;HECTOR ANTONIO;SECRETARIO GRAL. PLANEAMIENTO;32491,5;0;13746;18745,5
2012;JULIO;PEÑA;MARCOS;SECRETARIO GENERAL;32793,5;302;13978,1;18815,5
2012;JULIO;SALVAI;CARLOS FEDERICO;SECRETARIO GRAL. DES.CUIDADANO;30866,9;0;13755,4;17111,5
2012;JULIO;GAYTAN;FACUNDO AMADO;SECRETARIO GRAL COMUNICACIÓN;30866,9;0;13751,8;17115,1
2012;AGOSTO;MACRI;MAURICIO;JEFE DE GOBIERNO;6300;0;1089,9;5210,1
2012;AGOSTO;VIDAL;MARIA EUGENIA;VICEJEFA DE GOBIERNO;39678,7;0;16811,4;22867,3
2012;AGOSTO;RODRIGUEZ LARRETA;HORACIO ANTONIO;JEFE DE GABINETE;32491,5;0;15406,7;17084,8
2012;AGOSTO;GRINDETTI;NESTOR OSVALDO;MINISTRO;32491,5;0;13825,3;18666,2
2012;AGOSTO;BULLRICH;ESTEBAN JOSE;MINISTRO;32491,5;0;15577,1;16914,4
2012;AGOSTO;CABRERA;FRANCISCO ADOLFO;MINISTRO;32491,5;0;14377,2;18114,3
2012;AGOSTO;CHAIN;DANIEL GUSTAVO;MINISTRO;32491,5;0;14309,1;18182,4
2012;AGOSTO;MONZO;EMILIO;MINISTRO;33123;631,5;14700,4;18422,6
2012;AGOSTO;STANLEY;CAROLINA;MINISTRO;32491,5;0;14315,4;18176,1
